image,area_um2,perimeter_um,bbox_aspect_ratio,ellipse_major_um,ellipse_minor_um,ellipse_angle_deg,contraction_ratio,num_endpoints,num_branchpoints,length_um,straight_length_um,tortuosity,width_base_um,width_tip_um,width_max_um,curvature_mean_rad,curvature_max_rad,curvature_sum_rad,skeleton_length_um,skeleton_ratio,upper_curv_mean_rad,upper_curv_max_rad,upper_curv_sum_rad,lower_curv_mean_rad,lower_curv_max_rad,lower_curv_sum_rad,species
250826_BS_009_L,1664.8450493812568,269.2836026581063,0.2773972602739726,104.02267426252368,25.42337225750089,0.0863891243934631,0.1933111296142103,80.0,312.0,18.02307039718084,15.807728413094926,1.1401429684388271,10.229312904994003,11.500606962363236,12.168632727116348,0.4920566822061188,1.5707963267948966,40.84070462310786,126.77001953125,7.0337637670815125,0.8428026803235076,1.5707963267948966,253.6836067773758,0.8425180298263536,1.5707963267948966,185.3539665617978,B. suaveolens
250826_BS_010_L,1114.4155482519875,237.9786372160041,0.3268292682926829,86.57647199609853,23.427519286306477,166.2120361328125,0.3310082773010059,51.0,496.0,19.30393962490126,17.67061045691509,1.0924319605125463,5.628343439332361,9.664996542467916,9.797742934965854,0.4918655215798382,1.5707963267948966,48.69468663640399,124.07813784154972,6.427607019734676,0.81308848326082,1.5707963267948966,253.6836067773758,0.8122749066315815,1.5707963267948966,213.62830044410595,B. suaveolens
250826_BS_011_L,1767.124479226836,1.3170827916952983,0.3308411214953271,,,,-16298.0,59.0,410.0,25.125029526088163,21.777965329073687,1.1536903997429977,18.225600622906587,20.01668410601317,20.199497996191774,0.551449774972892,1.5707963267948966,51.83627884745185,152.27052395556723,6.060511244273748,0.8104640622292817,1.5707963267948966,228.55086554865744,0.8536936558667917,1.5707963267948966,215.9844949342983,B. suaveolens
250826_BS_012_L,2634.845055824468,1.5568401876159683,0.2985865724381625,,,,-17392.5,64.0,406.0,23.60490173360008,20.670315328458354,1.141971051651131,16.362225501374763,18.20441530896472,18.37228644977916,0.5063751319414261,1.5707963267948966,38.48451002754839,189.07137784090904,8.009835413624193,0.798106871543038,1.5707963267948966,246.61502330679875,0.840570761652641,1.5707963267948966,203.41812431993912,B. suaveolens
250826_BS_013_L,5164.341081491406,4.062536676329645,0.4430147058823529,1.589994900154345,1.027226848810008,115.36874389648438,-4793.125,59.0,378.0,30.53962238490648,28.00630108881902,1.0904554045910346,33.48468496943965,40.12886999231396,41.351085449710034,0.4521989502252306,1.5707963267948966,29.84513071486522,258.3333333333333,8.45895637075751,0.8414980322115517,3.141592653589793,235.61944901923448,0.8096575661278714,1.5707963267948966,209.7013096271187,B. suaveolens
250826_BS_014_L,1797.8458501854718,291.353001000659,0.3455210237659963,102.5995352438518,33.78509804606438,6.5029616355896,0.3112090431916303,66.0,282.0,18.144966068696792,16.102172570454112,1.1268644643637098,18.05438875999986,18.74731019595448,18.917046221239225,0.6170985593635292,1.5707963267948966,43.19689915544704,139.90652901785714,7.710487222085255,0.8030475603277281,1.5707963267948966,214.4136986075034,0.844614691590113,3.141592653589793,212.8429022807085,B. suaveolens
250826_BS_015_L,2085.521745929529,0.8161850960311964,0.322435174746336,,,,-81335.0,167.0,513.0,6.565053284159923,5.789740827300899,1.1339114271234945,4.087409488902048,6.5202530736438895,6.537178306678121,0.5061454830783556,1.5707963267948966,22.776546738526005,146.95576833412414,22.38455073756936,0.8106708765760791,1.5707963267948966,327.511034136736,0.8391006019203505,1.5707963267948966,294.52431127404304,B. suaveolens
250826_BS_016_L,1654.500387200402,228.14790486149457,0.7290322580645161,93.75720045986482,30.08337238557637,149.26806640625,0.0660307160452745,196.0,257.0,13.505106912463695,12.017632281997136,1.1237743505178517,12.594789884365689,15.108668931880397,15.742831447387898,0.5451587306360562,1.5707963267948966,46.33849210406478,102.62637454445476,7.599079015786402,0.7878297366587407,1.5707963267948966,254.46900494077323,0.7957664559835532,1.5707963267948966,241.11723616301663,B. suaveolens
250826_BS_017_L,2703.3587737863754,370.83924742658405,0.298932384341637,132.66858915671898,41.250688872497534,177.93734741210938,0.3413383503024937,70.0,385.0,12.734747790373964,10.513161744250407,1.2113147405287974,14.398674557789152,16.536106930364944,16.716691270759405,0.7048445066937831,1.5707963267948966,27.48893576105754,183.5197259726808,14.410943113565311,0.8061347485696582,1.5707963267948966,244.2588288166064,0.8284336792000482,1.5707963267948966,181.42697574481056,B. suaveolens
250826_BS_018_L,2359.4741177340143,338.8566556224874,0.4049459041731066,111.24291628141198,49.19168560960532,178.9662628173828,0.4423052023212106,138.0,467.0,16.92389173856509,14.911030413442608,1.1349914304586115,5.584404646846171,9.130338418356086,9.253906597650184,0.4882204867843893,1.5707963267948966,36.12831602204481,169.63567355443874,10.02344355393646,0.8113311216228358,1.5707963267948966,344.0043955680824,0.8019577632281175,1.5707963267948966,266.249977391735,B. suaveolens
250826_BS_019_L,1924.8787582339655,271.48956109596344,0.3215189873417721,121.74641442853338,25.894457157268054,10.54124927520752,0.08738638841591,133.0,581.0,15.830093255462192,13.828006716172526,1.144784897808021,19.51659224754154,25.204581179360066,25.28753191925756,0.5369558882958793,1.5707963267948966,52.62167705299616,145.91388081395334,9.217499761955324,0.808573846907537,1.5707963267948966,246.6150233067988,0.7989785350988449,1.5707963267948966,277.2455516792992,B. suaveolens
